id_equipement_client,id_client,constructeur,modele_terminal,imei,imsi_sim_tag_code,iccid_sim_card,type_carte_sim,compatible_5g,compatible_5g_standalone,annee_commercialisation,date_premiere_connexion_reseau
EQP-00016,CLI-00016,Google,Pixel 8 Pro 5G,355858769055680,208105331545746,893310219935174998,eSIM Virtuelle,True,True,2024,2023-08-14
EQP-00017,CLI-00017,Cisco,Routeur 5G Pro Industrial,354572500594556,208108722333632,893310287583672390,Nano-SIM Physique,True,True,2024,2024-03-20
EQP-00018,CLI-00018,Apple,iPhone 14 5G,354305311358428,208104084606861,893310244333419837,Nano-SIM Physique,True,False,2024,2023-10-06
EQP-00019,CLI-00019,Samsung,Galaxy A55 5G,351117162940677,208104827875442,893310408696828057,eSIM Virtuelle,True,False,2023,2024-01-16
EQP-00020,CLI-00020,Xiaomi,Xiaomi 13 Pro 5G,359199410254163,208105456283951,893310701745766301,Nano-SIM Physique,True,False,2024,2024-02-08
EQP-00021,CLI-00021,Xiaomi,Xiaomi 13 Pro 5G,358050859003292,208107551751103,893310307433328230,Nano-SIM Physique,True,False,2024,2023-02-17
EQP-00022,CLI-00022,Xiaomi,Xiaomi 13 Pro 5G,353485844542860,208109531109297,893310336965696157,Nano-SIM Physique,True,False,2023,2023-07-23
EQP-00023,CLI-00023,Apple,iPhone 15 Pro 5G,357324823466017,208104756768466,893310293186635575,Nano-SIM Physique,True,True,2023,2024-04-25
EQP-00024,CLI-00024,Apple,iPhone 15 Pro 5G,357665562296417,208101423300859,893310569842966719,eSIM Virtuelle,True,True,2023,2024-08-18
EQP-00025,CLI-00025,Samsung,Galaxy A55 5G,356657890565602,208104004684760,893310130570628649,eSIM Virtuelle,True,False,2023,2024-06-12
EQP-00026,CLI-00026,Samsung,Galaxy A55 5G,355127187219451,208108894794701,893310265100688932,eSIM Virtuelle,True,False,2023,2024-05-03
EQP-00027,CLI-00027,Apple,iPhone 15 Pro 5G,355080171969067,208102995473368,893310921265723109,Nano-SIM Physique,True,True,2023,2023-06-16
EQP-00028,CLI-00028,Apple,iPhone 14 5G,353606369142553,208109010695673,893310417174289216,Nano-SIM Physique,True,False,2025,2024-07-02
EQP-00029,CLI-00029,Apple,iPhone 14 5G,359870303461943,208105990331084,893310886801733947,Nano-SIM Physique,True,False,2023,2024-04-11
EQP-00030,CLI-00030,Xiaomi,Xiaomi 13 Pro 5G,358299400549937,208107229286715,893310954168265997,eSIM Virtuelle,True,False,2024,2023-10-26
EQP-00031,CLI-00031,Samsung,Galaxy S24 Ultra 5G,357489803896849,208107169173137,893310767150224265,Nano-SIM Physique,True,True,2024,2024-08-16
EQP-00032,CLI-00032,Xiaomi,Xiaomi 13 Pro 5G,359966136190500,208102109039755,893310790290659450,eSIM Virtuelle,True,False,2023,2023-10-05
EQP-00033,CLI-00033,Xiaomi,Xiaomi 13 Pro 5G,353173196320226,208101435390948,893310204804708462,Nano-SIM Physique,True,False,2023,2023-03-23
EQP-00034,CLI-00034,Xiaomi,Xiaomi 13 Pro 5G,351515828077611,208105407054632,893310861025583619,Nano-SIM Physique,True,False,2023,2023-09-14
EQP-00035,CLI-00035,Cisco,Routeur 5G Pro Industrial,358557849525361,208105523877564,893310561590753586,Nano-SIM Physique,True,True,2023,2024-05-21
EQP-00036,CLI-00036,Apple,iPhone 15 Pro 5G,352960473680506,208103235469237,893310208454204786,eSIM Virtuelle,True,True,2025,2023-04-03
EQP-00037,CLI-00037,Google,Pixel 8 Pro 5G,351646468207067,208107151102090,893310636318205643,eSIM Virtuelle,True,True,2023,2024-08-20
EQP-00038,CLI-00038,Samsung,Galaxy S24 Ultra 5G,354691994353155,208105696278704,893310213023873259,Nano-SIM Physique,True,True,2025,2023-09-03
EQP-00039,CLI-00039,Xiaomi,Xiaomi 13 Pro 5G,359355506118578,208103362291902,893310776769165287,Nano-SIM Physique,True,False,2024,2024-05-05
EQP-00040,CLI-00040,Cisco,Routeur 5G Pro Industrial,357353030802373,208108189776783,893310588497356711,eSIM Virtuelle,True,True,2024,2024-02-04
EQP-00041,CLI-00041,Google,Pixel 8 Pro 5G,354374772929642,208104675941265,893310977170247105,Nano-SIM Physique,True,True,2023,2023-12-09
EQP-00042,CLI-00042,Cisco,Routeur 5G Pro Industrial,359724466999632,208107356233000,893310373013811131,eSIM Virtuelle,True,True,2023,2023-06-21
EQP-00043,CLI-00043,Apple,iPhone 15 Pro 5G,354215876390627,208105502981669,893310132671992632,eSIM Virtuelle,True,True,2024,2023-05-31
EQP-00044,CLI-00044,Xiaomi,Xiaomi 13 Pro 5G,357349339933000,208107490991278,893310627008395011,Nano-SIM Physique,True,False,2025,2023-12-27
EQP-00045,CLI-00045,Samsung,Galaxy A55 5G,351842583245214,208103680596495,893310702338270232,Nano-SIM Physique,True,False,2024,2023-11-17
EQP-00046,CLI-00046,Samsung,Galaxy S24 Ultra 5G,352386514756692,208108999726530,893310313033874346,eSIM Virtuelle,True,True,2025,2024-04-26
EQP-00047,CLI-00047,Google,Pixel 8 Pro 5G,359661829315253,208101577286658,893310885665737100,Nano-SIM Physique,True,True,2023,2023-06-20
EQP-00048,CLI-00048,Samsung,Galaxy A55 5G,355673810549146,208101672430870,893310753160472184,Nano-SIM Physique,True,False,2024,2023-11-21
EQP-00049,CLI-00049,Samsung,Galaxy S24 Ultra 5G,353291266216568,208106976773201,893310188302641278,Nano-SIM Physique,True,True,2024,2024-02-28
EQP-00050,CLI-00050,Google,Pixel 8 Pro 5G,352181128578224,208102754724014,893310792905389758,Nano-SIM Physique,True,True,2025,2024-03-29
EQP-00051,CLI-00051,Samsung,Galaxy A55 5G,356191907102810,208109368618342,893310392084512272,Nano-SIM Physique,True,False,2023,2023-03-27
EQP-00052,CLI-00052,Apple,iPhone 15 Pro 5G,352560469661571,208103035345408,893310106389360559,Nano-SIM Physique,True,True,2025,2023-11-04
EQP-00053,CLI-00053,Samsung,Galaxy S24 Ultra 5G,358596516310038,208102495950468,893310452481234915,Nano-SIM Physique,True,True,2025,2024-07-06
EQP-00054,CLI-00054,Cisco,Routeur 5G Pro Industrial,357212778376840,208106932823779,893310793926409955,Nano-SIM Physique,True,True,2024,2023-10-09
EQP-00055,CLI-00055,Samsung,Galaxy A55 5G,359959675949578,208107704624745,893310229124911575,Nano-SIM Physique,True,False,2024,2024-01-22
EQP-00056,CLI-00056,Google,Pixel 8 Pro 5G,356688084702537,208101939108443,893310643478197625,Nano-SIM Physique,True,True,2024,2023-05-31
EQP-00057,CLI-00057,Apple,iPhone 15 Pro 5G,353702722065155,208108105111729,893310440898946537,Nano-SIM Physique,True,True,2024,2024-02-28
EQP-00058,CLI-00058,Samsung,Galaxy A55 5G,356966318270654,208109396498229,893310416766446702,eSIM Virtuelle,True,False,2023,2023-08-25
EQP-00059,CLI-00059,Apple,iPhone 14 5G,355320210184146,208109965504609,893310285811225270,Nano-SIM Physique,True,False,2025,2023-07-01
EQP-00060,CLI-00060,Google,Pixel 8 Pro 5G,358267155053245,208109281422907,893310131510631790,Nano-SIM Physique,True,True,2024,2024-04-02
EQP-00061,CLI-00061,Apple,iPhone 15 Pro 5G,357466067646034,208102342584003,893310233189313488,Nano-SIM Physique,True,True,2024,2023-09-19
EQP-00062,CLI-00062,Google,Pixel 8 Pro 5G,358113373777520,208106446125771,893310781377484857,eSIM Virtuelle,True,True,2023,2023-08-01
EQP-00063,CLI-00063,Xiaomi,Xiaomi 13 Pro 5G,352424670281693,208103356713771,893310992224338118,eSIM Virtuelle,True,False,2023,2023-09-01
EQP-00064,CLI-00064,Xiaomi,Xiaomi 13 Pro 5G,352610328328325,208109675176179,893310295759996967,Nano-SIM Physique,True,False,2023,2024-01-24
EQP-00065,CLI-00065,Xiaomi,Xiaomi 13 Pro 5G,354675980073088,208108340539118,893310406836736221,eSIM Virtuelle,True,False,2023,2023-08-01
EQP-00066,CLI-00066,Apple,iPhone 15 Pro 5G,351288405745544,208105217522142,893310534207440058,eSIM Virtuelle,True,True,2024,2023-05-02
EQP-00067,CLI-00067,Xiaomi,Xiaomi 13 Pro 5G,355898102670915,208109109139223,893310794807630126,eSIM Virtuelle,True,False,2025,2023-10-20
EQP-00068,CLI-00068,Apple,iPhone 15 Pro 5G,353079729696163,208101586072297,893310577893218324,Nano-SIM Physique,True,True,2025,2024-03-15
EQP-00069,CLI-00069,Samsung,Galaxy S24 Ultra 5G,351758217531647,208101609066393,893310488653242845,Nano-SIM Physique,True,True,2023,2023-04-07
EQP-00070,CLI-00070,Google,Pixel 8 Pro 5G,351307488152822,208107541848506,893310720020467032,Nano-SIM Physique,True,True,2024,2024-04-07
EQP-00071,CLI-00071,Apple,iPhone 14 5G,357528236262642,208107199186040,893310992199498052,Nano-SIM Physique,True,False,2024,2024-07-16
EQP-00072,CLI-00072,Google,Pixel 8 Pro 5G,352138138688663,208109692297304,893310921093229570,eSIM Virtuelle,True,True,2023,2024-02-26
EQP-00073,CLI-00073,Google,Pixel 8 Pro 5G,358437986210771,208107961904217,893310882196944749,Nano-SIM Physique,True,True,2024,2023-01-06
EQP-00074,CLI-00074,Google,Pixel 8 Pro 5G,358545932171864,208102490479553,893310558088399467,Nano-SIM Physique,True,True,2024,2023-09-28
EQP-00075,CLI-00075,Samsung,Galaxy A55 5G,353572443713230,208104221633296,893310398475776102,Nano-SIM Physique,True,False,2024,2023-09-17
EQP-00076,CLI-00076,Xiaomi,Xiaomi 13 Pro 5G,357270210519370,208107206698625,893310475328443585,Nano-SIM Physique,True,False,2023,2024-06-07
EQP-00077,CLI-00077,Apple,iPhone 15 Pro 5G,353289661521403,208104133578652,893310603343858843,Nano-SIM Physique,True,True,2025,2023-08-29
EQP-00078,CLI-00078,Xiaomi,Xiaomi 13 Pro 5G,351320448222667,208108194474904,893310842015249184,Nano-SIM Physique,True,False,2025,2023-06-16
EQP-00079,CLI-00079,Apple,iPhone 14 5G,353326785466882,208109711933306,893310316618888215,eSIM Virtuelle,True,False,2024,2023-02-25
EQP-00080,CLI-00080,Cisco,Routeur 5G Pro Industrial,357072625837830,208107471373011,893310325303832690,Nano-SIM Physique,True,True,2024,2023-07-23
EQP-00081,CLI-00081,Cisco,Routeur 5G Pro Industrial,355645945823579,208108988428868,893310212361491353,Nano-SIM Physique,True,True,2023,2023-04-04
EQP-00082,CLI-00082,Samsung,Galaxy A55 5G,358837303058536,208105043568552,893310658514949501,Nano-SIM Physique,True,False,2025,2024-07-22
EQP-00083,CLI-00083,Samsung,Galaxy A55 5G,356546758284257,208105211101475,893310188455447203,eSIM Virtuelle,True,False,2024,2023-02-25
EQP-00084,CLI-00084,Apple,iPhone 15 Pro 5G,358199639070385,208104968581591,893310637690339317,Nano-SIM Physique,True,True,2024,2023-11-08
EQP-00085,CLI-00085,Apple,iPhone 14 5G,358267087359774,208109930225614,893310547445727956,Nano-SIM Physique,True,False,2025,2023-08-21
EQP-00086,CLI-00086,Xiaomi,Xiaomi 13 Pro 5G,359401322459570,208105680367660,893310496808689233,Nano-SIM Physique,True,False,2025,2023-10-10
EQP-00087,CLI-00087,Apple,iPhone 15 Pro 5G,354166708557867,208103279047120,893310117264611555,eSIM Virtuelle,True,True,2023,2023-01-15
EQP-00088,CLI-00088,Samsung,Galaxy S24 Ultra 5G,352855906369395,208109321849444,893310358807123582,Nano-SIM Physique,True,True,2023,2024-05-28
EQP-00089,CLI-00089,Apple,iPhone 15 Pro 5G,352924779544430,208107700513780,893310718702794429,Nano-SIM Physique,True,True,2024,2023-01-15
EQP-00090,CLI-00090,Apple,iPhone 14 5G,355956411618336,208108481755802,893310714424612122,Nano-SIM Physique,True,False,2023,2023-01-22
EQP-00091,CLI-00091,Apple,iPhone 15 Pro 5G,354974000749042,208105179731643,893310992382611454,eSIM Virtuelle,True,True,2023,2023-09-05
EQP-00092,CLI-00092,Cisco,Routeur 5G Pro Industrial,357576566086430,208107755169168,893310599700826667,Nano-SIM Physique,True,True,2023,2024-05-14
EQP-00093,CLI-00093,Samsung,Galaxy S24 Ultra 5G,356863905545482,208109599110992,893310223879998729,eSIM Virtuelle,True,True,2023,2023-02-05
EQP-00094,CLI-00094,Samsung,Galaxy A55 5G,356087725975874,208105309960394,893310318882086063,eSIM Virtuelle,True,False,2025,2023-05-16
EQP-00095,CLI-00095,Samsung,Galaxy S24 Ultra 5G,354778174968924,208108190029459,893310338997574384,eSIM Virtuelle,True,True,2023,2024-08-03
EQP-00096,CLI-00096,Apple,iPhone 14 5G,359058753268986,208107516326873,893310303977511757,Nano-SIM Physique,True,False,2023,2024-05-15
EQP-00097,CLI-00097,Samsung,Galaxy S24 Ultra 5G,356125783302045,208109985033239,893310554818049177,Nano-SIM Physique,True,True,2024,2023-06-21
EQP-00098,CLI-00098,Cisco,Routeur 5G Pro Industrial,351319237986878,208108031649368,893310884574854770,eSIM Virtuelle,True,True,2023,2023-09-07
EQP-00099,CLI-00099,Apple,iPhone 15 Pro 5G,359526787466618,208108749903027,893310525243448912,Nano-SIM Physique,True,True,2023,2023-02-20
EQP-00100,CLI-00100,Apple,iPhone 15 Pro 5G,358970721497129,208104619909789,893310260138409718,Nano-SIM Physique,True,True,2024,2024-02-09
EQP-00101,CLI-00101,Apple,iPhone 15 Pro 5G,354777708968668,208105316988386,893310650278016164,eSIM Virtuelle,True,True,2023,2023-06-15
EQP-00102,CLI-00102,Apple,iPhone 15 Pro 5G,358548722329447,208103090928188,893310657861641434,Nano-SIM Physique,True,True,2023,2023-03-25
EQP-00103,CLI-00103,Google,Pixel 8 Pro 5G,357573373974142,208108821910967,893310837099452973,eSIM Virtuelle,True,True,2024,2023-05-19
EQP-00104,CLI-00104,Xiaomi,Xiaomi 13 Pro 5G,351493015456848,208109059211442,893310186982900940,eSIM Virtuelle,True,False,2024,2023-03-11
EQP-00105,CLI-00105,Google,Pixel 8 Pro 5G,353278071296043,208105115969245,893310580466218012,eSIM Virtuelle,True,True,2025,2024-06-22
EQP-00106,CLI-00106,Samsung,Galaxy S24 Ultra 5G,355641265980537,208105925640409,893310195516934301,eSIM Virtuelle,True,True,2024,2023-03-26
EQP-00107,CLI-00107,Google,Pixel 8 Pro 5G,357017905063871,208101612035587,893310361525960855,Nano-SIM Physique,True,True,2024,2024-07-21
EQP-00108,CLI-00108,Apple,iPhone 15 Pro 5G,352398096143504,208108219211941,893310720596326896,Nano-SIM Physique,True,True,2024,2023-07-14
EQP-00109,CLI-00109,Apple,iPhone 14 5G,354101245973998,208106768096639,893310517333322162,Nano-SIM Physique,True,False,2025,2024-05-03
EQP-00110,CLI-00110,Samsung,Galaxy S24 Ultra 5G,357162908450999,208108204575801,893310892701753068,Nano-SIM Physique,True,True,2023,2023-09-22
EQP-00111,CLI-00111,Samsung,Galaxy S24 Ultra 5G,353155903455140,208109360845399,893310735683342037,eSIM Virtuelle,True,True,2023,2024-02-05
EQP-00112,CLI-00112,Apple,iPhone 15 Pro 5G,355228583886442,208106956387559,893310599955669017,eSIM Virtuelle,True,True,2024,2023-10-16
EQP-00113,CLI-00113,Apple,iPhone 14 5G,357109196594245,208108957394003,893310402334032287,Nano-SIM Physique,True,False,2024,2024-08-16
EQP-00114,CLI-00114,Xiaomi,Xiaomi 13 Pro 5G,353583250068382,208104227127397,893310182606508977,Nano-SIM Physique,True,False,2024,2024-03-04
EQP-00115,CLI-00115,Cisco,Routeur 5G Pro Industrial,358493807157417,208103030287148,893310724638002939,Nano-SIM Physique,True,True,2024,2024-03-25
EQP-00116,CLI-00116,Apple,iPhone 14 5G,355023817697006,208109661266822,893310241663476161,eSIM Virtuelle,True,False,2023,2024-07-23
EQP-00117,CLI-00117,Samsung,Galaxy S24 Ultra 5G,358381065141475,208102338517043,893310488053802695,eSIM Virtuelle,True,True,2024,2024-02-27
EQP-00118,CLI-00118,Xiaomi,Xiaomi 13 Pro 5G,357918153432111,208105816916326,893310672236557933,Nano-SIM Physique,True,False,2024,2023-12-01
EQP-00119,CLI-00119,Samsung,Galaxy A55 5G,357656007227087,208101381679467,893310515804246441,Nano-SIM Physique,True,False,2024,2023-04-12
EQP-00120,CLI-00120,Samsung,Galaxy S24 Ultra 5G,354710106747382,208109804446587,893310191725242625,Nano-SIM Physique,True,True,2023,2024-07-30
EQP-00121,CLI-00121,Apple,iPhone 14 5G,351663273497184,208107225539715,893310350836769929,Nano-SIM Physique,True,False,2024,2023-01-28
EQP-00122,CLI-00122,Xiaomi,Xiaomi 13 Pro 5G,356985405540910,208104684166607,893310216560618884,eSIM Virtuelle,True,False,2025,2023-05-16
EQP-00123,CLI-00123,Apple,iPhone 15 Pro 5G,357654662076756,208103853022509,893310720295019878,eSIM Virtuelle,True,True,2024,2024-02-21
EQP-00124,CLI-00124,Samsung,Galaxy S24 Ultra 5G,354807165566950,208109584960752,893310916269110469,eSIM Virtuelle,True,True,2023,2024-02-21
EQP-00125,CLI-00125,Google,Pixel 8 Pro 5G,351571431809670,208106789626381,893310483406231004,eSIM Virtuelle,True,True,2023,2023-11-29
EQP-00126,CLI-00126,Apple,iPhone 15 Pro 5G,355246216916895,208108006548461,893310153925921030,Nano-SIM Physique,True,True,2025,2024-07-22
EQP-00127,CLI-00127,Apple,iPhone 15 Pro 5G,352281412379684,208106937047095,893310133243918078,Nano-SIM Physique,True,True,2025,2024-01-02
EQP-00128,CLI-00128,Cisco,Routeur 5G Pro Industrial,354143755137682,208104536472025,893310488805202861,eSIM Virtuelle,True,True,2023,2023-05-11
EQP-00129,CLI-00129,Samsung,Galaxy A55 5G,359915674054633,208101619196062,893310163291378973,Nano-SIM Physique,True,False,2025,2023-10-20
EQP-00130,CLI-00130,Apple,iPhone 14 5G,352279104736591,208101858605523,893310780729692754,Nano-SIM Physique,True,False,2024,2024-05-01
EQP-00131,CLI-00131,Google,Pixel 8 Pro 5G,351995910153961,208104878576293,893310756047907236,Nano-SIM Physique,True,True,2023,2023-03-15
EQP-00132,CLI-00132,Apple,iPhone 14 5G,359682693518691,208108070482319,893310561073553695,eSIM Virtuelle,True,False,2024,2023-01-31
EQP-00133,CLI-00133,Samsung,Galaxy S24 Ultra 5G,352355572832192,208105896562896,893310716300291606,eSIM Virtuelle,True,True,2024,2024-07-11
EQP-00134,CLI-00134,Samsung,Galaxy A55 5G,354196372138202,208105478615980,893310885864683398,Nano-SIM Physique,True,False,2025,2024-06-16
EQP-00135,CLI-00135,Apple,iPhone 14 5G,358120749482322,208106606100191,893310186385280700,eSIM Virtuelle,True,False,2025,2024-04-27
EQP-00136,CLI-00136,Apple,iPhone 15 Pro 5G,351908282260216,208108901460408,893310685800216871,Nano-SIM Physique,True,True,2023,2023-08-13
EQP-00137,CLI-00137,Google,Pixel 8 Pro 5G,358466286666515,208105567117265,893310501171239175,Nano-SIM Physique,True,True,2024,2023-08-30
EQP-00138,CLI-00138,Cisco,Routeur 5G Pro Industrial,356942543400289,208102023022759,893310396479050631,Nano-SIM Physique,True,True,2023,2023-07-11
EQP-00139,CLI-00139,Xiaomi,Xiaomi 13 Pro 5G,358986067889538,208104699518104,893310582888414533,Nano-SIM Physique,True,False,2025,2023-11-16
EQP-00140,CLI-00140,Xiaomi,Xiaomi 13 Pro 5G,355845924308495,208104970498527,893310921791125182,Nano-SIM Physique,True,False,2024,2024-04-14
EQP-00141,CLI-00141,Cisco,Routeur 5G Pro Industrial,352319422946589,208102561529897,893310343021503145,eSIM Virtuelle,True,True,2025,2024-04-11
EQP-00142,CLI-00142,Apple,iPhone 15 Pro 5G,353205776546103,208101537398882,893310659723255522,eSIM Virtuelle,True,True,2023,2024-08-19
EQP-00143,CLI-00143,Apple,iPhone 14 5G,353620590419224,208106153343563,893310185034025993,Nano-SIM Physique,True,False,2024,2023-04-28
EQP-00144,CLI-00144,Apple,iPhone 15 Pro 5G,355344172347012,208109884811157,893310951113864850,Nano-SIM Physique,True,True,2024,2024-01-05
EQP-00145,CLI-00145,Samsung,Galaxy S24 Ultra 5G,358244047210227,208109373589725,893310862630896684,Nano-SIM Physique,True,True,2025,2023-01-14
EQP-00146,CLI-00146,Google,Pixel 8 Pro 5G,358144635101903,208101564201430,893310409348396994,Nano-SIM Physique,True,True,2024,2023-06-10
EQP-00147,CLI-00147,Xiaomi,Xiaomi 13 Pro 5G,353975794021288,208107214529235,893310726734848037,Nano-SIM Physique,True,False,2023,2023-08-02
EQP-00148,CLI-00148,Apple,iPhone 14 5G,354872699032227,208108461054156,893310734629612690,eSIM Virtuelle,True,False,2025,2023-01-30
EQP-00149,CLI-00149,Google,Pixel 8 Pro 5G,356638365086391,208103905607868,893310857816314544,Nano-SIM Physique,True,True,2023,2024-05-06
EQP-00150,CLI-00150,Apple,iPhone 14 5G,358169376718112,208101399783848,893310235962052989,Nano-SIM Physique,True,False,2023,2024-06-24
EQP-00151,CLI-00151,Google,Pixel 8 Pro 5G,357352906323217,208104849698305,893310949161271647,Nano-SIM Physique,True,True,2023,2023-09-23
EQP-00152,CLI-00152,Apple,iPhone 14 5G,353810061698316,208109984462541,893310787980640504,eSIM Virtuelle,True,False,2024,2023-12-08
EQP-00153,CLI-00153,Apple,iPhone 14 5G,352068993591408,208101496830474,893310589378299025,eSIM Virtuelle,True,False,2025,2023-03-23
EQP-00154,CLI-00154,Google,Pixel 8 Pro 5G,357308749436078,208104451232702,893310924589318226,eSIM Virtuelle,True,True,2023,2024-05-24
EQP-00155,CLI-00155,Apple,iPhone 14 5G,353299178562367,208101820806517,893310949267733588,eSIM Virtuelle,True,False,2023,2023-08-26
EQP-00156,CLI-00156,Xiaomi,Xiaomi 13 Pro 5G,355843754759392,208104883436214,893310815377802543,Nano-SIM Physique,True,False,2023,2024-05-05
EQP-00157,CLI-00157,Cisco,Routeur 5G Pro Industrial,354698832645354,208101608964146,893310473423297610,eSIM Virtuelle,True,True,2023,2023-09-10
EQP-00158,CLI-00158,Apple,iPhone 14 5G,351693793697124,208109912978402,893310151646584522,eSIM Virtuelle,True,False,2024,2024-08-02
EQP-00159,CLI-00159,Google,Pixel 8 Pro 5G,359925577916617,208108053641385,893310757978662928,Nano-SIM Physique,True,True,2023,2023-09-04
EQP-00160,CLI-00160,Samsung,Galaxy S24 Ultra 5G,357575848279841,208102331926075,893310812701259003,Nano-SIM Physique,True,True,2025,2023-11-29
EQP-00161,CLI-00161,Xiaomi,Xiaomi 13 Pro 5G,356819703937796,208109301255052,893310469865268300,eSIM Virtuelle,True,False,2024,2023-06-13
EQP-00162,CLI-00162,Samsung,Galaxy A55 5G,352459055338857,208105856932155,893310186574795182,Nano-SIM Physique,True,False,2024,2023-04-10
EQP-00163,CLI-00163,Xiaomi,Xiaomi 13 Pro 5G,354473767102250,208101043598167,893310389457788153,eSIM Virtuelle,True,False,2023,2023-02-28
EQP-00164,CLI-00164,Samsung,Galaxy A55 5G,356860897670246,208108506151055,893310170619690562,Nano-SIM Physique,True,False,2025,2023-12-31
EQP-00165,CLI-00165,Samsung,Galaxy S24 Ultra 5G,351599975159926,208109631630719,893310177473130161,eSIM Virtuelle,True,True,2023,2023-08-19
EQP-00166,CLI-00166,Xiaomi,Xiaomi 13 Pro 5G,358937901439563,208106203548966,893310731931538183,Nano-SIM Physique,True,False,2025,2023-02-27
EQP-00167,CLI-00167,Cisco,Routeur 5G Pro Industrial,358731922458400,208101656372709,893310439272645901,Nano-SIM Physique,True,True,2025,2023-12-22
EQP-00168,CLI-00168,Samsung,Galaxy S24 Ultra 5G,351268759091470,208103714417672,893310990043187062,Nano-SIM Physique,True,True,2023,2023-11-05
EQP-00169,CLI-00169,Google,Pixel 8 Pro 5G,352603774045126,208105909971663,893310847701406103,Nano-SIM Physique,True,True,2024,2024-03-28
EQP-00170,CLI-00170,Cisco,Routeur 5G Pro Industrial,357980699411243,208107710314295,893310389126463809,eSIM Virtuelle,True,True,2024,2024-01-23
EQP-00171,CLI-00171,Samsung,Galaxy A55 5G,352213858856833,208104027695203,893310429948201023,Nano-SIM Physique,True,False,2024,2024-01-01
EQP-00172,CLI-00172,Apple,iPhone 15 Pro 5G,357437096800836,208102074163298,893310945785203752,eSIM Virtuelle,True,True,2023,2023-12-28
EQP-00173,CLI-00173,Samsung,Galaxy A55 5G,351779464951193,208108960809540,893310160876845843,Nano-SIM Physique,True,False,2024,2023-03-29
EQP-00174,CLI-00174,Samsung,Galaxy A55 5G,356602757321695,208101081056175,893310376142861968,Nano-SIM Physique,True,False,2025,2023-02-24
EQP-00175,CLI-00175,Apple,iPhone 14 5G,358149678684759,208101380366185,893310502918558320,Nano-SIM Physique,True,False,2025,2024-06-18
EQP-00176,CLI-00176,Samsung,Galaxy S24 Ultra 5G,351536338655822,208101884445326,893310548343512254,eSIM Virtuelle,True,True,2023,2023-04-27
EQP-00177,CLI-00177,Xiaomi,Xiaomi 13 Pro 5G,352875148116789,208102700630938,893310630976678038,Nano-SIM Physique,True,False,2023,2023-11-15
EQP-00178,CLI-00178,Samsung,Galaxy A55 5G,353396344981913,208103472416135,893310693293996512,Nano-SIM Physique,True,False,2025,2024-05-05
EQP-00179,CLI-00179,Samsung,Galaxy A55 5G,352522004803843,208102309532224,893310780315811656,eSIM Virtuelle,True,False,2025,2023-10-16
EQP-00180,CLI-00180,Xiaomi,Xiaomi 13 Pro 5G,353735304748033,208104665870237,893310608031494926,eSIM Virtuelle,True,False,2024,2024-02-11
