id_client,nom_client,email_contact,telephone_contact,type_client,siret_entreprise,id_forfait_actuel,nom_forfait_actuel,statut_contrat,score_nps_satisfaction,date_souscription,arpu_mensuel_actuel_eur,arpu_potentiel_5g_max_eur,gain_arpu_potentiel_eur,consommation_donnees_mensuelle_gb,quota_donnees_mensuel_gb,taux_utilisation_quota_mars_pct,frais_hors_forfait_eur,commune,code_departement,nom_region,nb_micro_coupures_reseau_30j,score_risque_churn_pct,score_propension_upsell_5g_pct
CLI-00041,Airbus Cyber #41,contact.41@company-b2b.fr,+33673963438,B2B_PROFESSIONNEL,45011771953,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-06-16,59.99,74.99,15.0,126.2,150.0,84.1,93.78,Paris,75 - Paris,Île-de-France,0,15.0,95.0
CLI-00042,Dassault Systems #42,contact.42@company-b2b.fr,+33623217742,B2B_PROFESSIONNEL,45055080489,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-03-06,59.99,74.99,15.0,131.7,150.0,87.8,53.56,Toulouse,31 - Haute-Garonne,Occitanie,18,87.0,95.0
CLI-00043,Sanofi Pharma #43,contact.43@company-b2b.fr,+33685458137,B2B_PROFESSIONNEL,45068468861,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-07-25,59.99,74.99,15.0,138.9,150.0,92.6,36.87,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,0,15.0,95.0
CLI-00044,OVHcloud #44,contact.44@company-b2b.fr,+33612209742,B2B_PROFESSIONNEL,45029700107,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-05-17,59.99,74.99,15.0,127.8,150.0,85.2,65.15,Toulouse,31 - Haute-Garonne,Occitanie,1,19.0,95.0
CLI-00045,Michelin Digital #45,contact.45@company-b2b.fr,+33614334735,B2B_PROFESSIONNEL,45064726200,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2023-09-19,59.99,74.99,15.0,155.2,150.0,103.5,90.31,Strasbourg,67 - Bas-Rhin,Grand Est,2,43.0,95.0
CLI-00046,Thales Optronics #46,contact.46@company-b2b.fr,+33693146736,B2B_PROFESSIONNEL,45068708204,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-12-19,59.99,74.99,15.0,179.1,150.0,119.4,91.18,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,3,47.0,95.0
CLI-00047,Capgemini Engineering #47,contact.47@company-b2b.fr,+33693600012,B2B_PROFESSIONNEL,45031172781,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2024-04-01,59.99,74.99,15.0,148.3,150.0,98.9,48.2,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,1,19.0,95.0
CLI-00048,Michelin Digital #48,contact.48@company-b2b.fr,+33630244394,B2B_PROFESSIONNEL,45078676849,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-05-26,59.99,74.99,15.0,170.1,150.0,113.4,93.15,Montpellier,34 - Hérault,Occitanie,0,35.0,95.0
CLI-00049,Atos Worldline #49,contact.49@company-b2b.fr,+33666673385,B2B_PROFESSIONNEL,45030248971,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-04-07,59.99,74.99,15.0,131.4,150.0,87.6,35.91,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2,23.0,95.0
CLI-00050,Sanofi Pharma #50,contact.50@company-b2b.fr,+33614567607,B2B_PROFESSIONNEL,45018465920,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-06-17,59.99,74.99,15.0,124.5,150.0,83.0,63.03,Paris,75 - Paris,Île-de-France,0,15.0,95.0
CLI-00051,TotalEnergies IT #51,contact.51@company-b2b.fr,+33664632473,B2B_PROFESSIONNEL,45074054276,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2024-05-26,59.99,74.99,15.0,181.3,150.0,120.9,75.96,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,3,47.0,95.0
CLI-00052,Sanofi Pharma #52,contact.52@company-b2b.fr,+33697308077,B2B_PROFESSIONNEL,45097829500,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-01-29,59.99,74.99,15.0,181.3,150.0,120.9,68.81,Nantes,44 - Loire-Atlantique,Pays de la Loire,0,35.0,95.0
CLI-00053,Stellantis R&D #53,contact.53@company-b2b.fr,+33632364576,B2B_PROFESSIONNEL,45060501268,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2024-08-20,59.99,74.99,15.0,138.8,150.0,92.5,80.48,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,1,19.0,95.0
CLI-00054,Sanofi Pharma #54,contact.54@company-b2b.fr,+33649150897,B2B_PROFESSIONNEL,45029562301,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-10-19,59.99,74.99,15.0,129.3,150.0,86.2,46.51,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,3,27.0,95.0
CLI-00055,Stellantis R&D #55,contact.55@company-b2b.fr,+33618434817,B2B_PROFESSIONNEL,45024690711,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-01-30,59.99,74.99,15.0,175.5,150.0,117.0,86.31,Rennes,35 - Ille-et-Vilaine,Bretagne,0,35.0,95.0
CLI-00056,Sanofi Pharma #56,contact.56@company-b2b.fr,+33621764062,B2B_PROFESSIONNEL,45063109051,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-04-16,59.99,74.99,15.0,186.8,150.0,124.5,40.93,Strasbourg,67 - Bas-Rhin,Grand Est,1,39.0,95.0
CLI-00057,TotalEnergies IT #57,contact.57@company-b2b.fr,+33610696313,B2B_PROFESSIONNEL,45083659309,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-07-08,59.99,74.99,15.0,187.3,150.0,124.9,47.41,Montpellier,34 - Hérault,Occitanie,1,39.0,95.0
CLI-00058,Airbus Cyber #58,contact.58@company-b2b.fr,+33670065111,B2B_PROFESSIONNEL,45037236046,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2024-03-26,59.99,74.99,15.0,160.3,150.0,106.9,57.59,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,11,79.0,95.0
CLI-00059,TotalEnergies IT #59,contact.59@company-b2b.fr,+33619118852,B2B_PROFESSIONNEL,45071167929,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2024-07-05,59.99,74.99,15.0,132.9,150.0,88.6,84.99,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,2,23.0,95.0
CLI-00060,OVHcloud #60,contact.60@company-b2b.fr,+33671611223,B2B_PROFESSIONNEL,45031197006,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-11-19,59.99,74.99,15.0,124.7,150.0,83.1,56.84,Montpellier,34 - Hérault,Occitanie,13,67.0,95.0
CLI-00061,Thales Optronics #61,contact.61@company-b2b.fr,+33663395446,B2B_PROFESSIONNEL,45037588072,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-12-26,59.99,74.99,15.0,161.6,150.0,107.7,20.88,Strasbourg,67 - Bas-Rhin,Grand Est,1,39.0,95.0
CLI-00062,Michelin Digital #62,contact.62@company-b2b.fr,+33687967398,B2B_PROFESSIONNEL,45066261494,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-12-21,59.99,74.99,15.0,177.2,150.0,118.1,27.8,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,1,39.0,95.0
CLI-00063,TotalEnergies IT #63,contact.63@company-b2b.fr,+33640109458,B2B_PROFESSIONNEL,45027622760,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-08-08,59.99,74.99,15.0,171.2,150.0,114.1,59.98,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,3,47.0,95.0
CLI-00064,Stellantis R&D #64,contact.64@company-b2b.fr,+33698079950,B2B_PROFESSIONNEL,45017400532,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-06-29,59.99,74.99,15.0,152.8,150.0,101.9,29.1,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,2,43.0,95.0
CLI-00065,Stellantis R&D #65,contact.65@company-b2b.fr,+33659342932,B2B_PROFESSIONNEL,45034586486,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-08-10,59.99,74.99,15.0,177.8,150.0,118.5,20.74,Toulouse,31 - Haute-Garonne,Occitanie,1,39.0,95.0
CLI-00066,OVHcloud #66,contact.66@company-b2b.fr,+33653324094,B2B_PROFESSIONNEL,45068919190,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2024-03-07,59.99,74.99,15.0,161.8,150.0,107.9,40.5,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2,43.0,95.0
CLI-00067,TotalEnergies IT #67,contact.67@company-b2b.fr,+33640507368,B2B_PROFESSIONNEL,45032937061,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-11-23,59.99,74.99,15.0,171.0,150.0,114.0,42.81,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,25,98.5,95.0
CLI-00068,Stellantis R&D #68,contact.68@company-b2b.fr,+33637014946,B2B_PROFESSIONNEL,45017748066,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-09-30,59.99,74.99,15.0,156.0,150.0,104.0,93.35,Montpellier,34 - Hérault,Occitanie,3,47.0,95.0
CLI-00069,Capgemini Engineering #69,contact.69@company-b2b.fr,+33636211075,B2B_PROFESSIONNEL,45032531620,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2024-07-30,59.99,74.99,15.0,177.9,150.0,118.6,40.53,Toulouse,31 - Haute-Garonne,Occitanie,17,98.5,95.0
CLI-00070,Atos Worldline #70,contact.70@company-b2b.fr,+33620900600,B2B_PROFESSIONNEL,45087774877,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-07-26,59.99,74.99,15.0,130.8,150.0,87.2,63.17,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,0,15.0,95.0
CLI-00071,Stellantis R&D #71,contact.71@company-b2b.fr,+33674320797,B2B_PROFESSIONNEL,45038084393,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2024-05-23,59.99,74.99,15.0,142.3,150.0,94.9,67.63,Strasbourg,67 - Bas-Rhin,Grand Est,22,98.5,95.0
CLI-00072,Atos Worldline #72,contact.72@company-b2b.fr,+33632345949,B2B_PROFESSIONNEL,45042440015,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-01-25,59.99,74.99,15.0,154.3,150.0,102.9,26.76,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,3,47.0,95.0
CLI-00073,OVHcloud #73,contact.73@company-b2b.fr,+33671846476,B2B_PROFESSIONNEL,45041727302,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2024-05-01,59.99,74.99,15.0,130.1,150.0,86.7,43.47,Nantes,44 - Loire-Atlantique,Pays de la Loire,20,95.0,95.0
CLI-00074,Airbus Cyber #74,contact.74@company-b2b.fr,+33650781403,B2B_PROFESSIONNEL,45085615528,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2024-06-07,59.99,74.99,15.0,148.7,150.0,99.1,72.6,Montpellier,34 - Hérault,Occitanie,6,39.0,95.0
CLI-00075,Airbus Cyber #75,contact.75@company-b2b.fr,+33621020825,B2B_PROFESSIONNEL,45037292447,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-05-01,59.99,74.99,15.0,164.8,150.0,109.9,77.43,Montpellier,34 - Hérault,Occitanie,3,47.0,95.0
CLI-00076,OVHcloud #76,contact.76@company-b2b.fr,+33636072071,B2B_PROFESSIONNEL,45071233607,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-01-17,59.99,74.99,15.0,172.5,150.0,115.0,23.99,Montpellier,34 - Hérault,Occitanie,2,43.0,95.0
CLI-00077,Thales Optronics #77,contact.77@company-b2b.fr,+33690395604,B2B_PROFESSIONNEL,45052543420,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-02-23,59.99,74.99,15.0,152.7,150.0,101.8,55.51,Strasbourg,67 - Bas-Rhin,Grand Est,2,43.0,95.0
CLI-00078,Michelin Digital #78,contact.78@company-b2b.fr,+33696765575,B2B_PROFESSIONNEL,45086760286,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-12-15,59.99,74.99,15.0,171.8,150.0,114.5,23.28,Paris,75 - Paris,Île-de-France,3,47.0,95.0
CLI-00079,Atos Worldline #79,contact.79@company-b2b.fr,+33640078837,B2B_PROFESSIONNEL,45076508154,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-07-30,59.99,74.99,15.0,142.5,150.0,95.0,47.77,Lille,59 - Nord,Hauts-de-France,1,19.0,95.0
CLI-00080,OVHcloud #80,contact.80@company-b2b.fr,+33652719076,B2B_PROFESSIONNEL,45040701980,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-01-16,59.99,74.99,15.0,142.2,150.0,94.8,94.71,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,17,83.0,95.0
CLI-00081,Thales Optronics #81,contact.81@company-b2b.fr,+33687197459,B2B_PROFESSIONNEL,45058703725,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2024-03-30,59.99,74.99,15.0,173.1,150.0,115.4,63.76,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,0,35.0,95.0
